GEOID,NAME,POPCOUNT
05000US17193,"White County, Illinois",14025
05000US17203,"Woodford County, Illinois",38817
05000US18001,"Adams County, Indiana",35195
05000US18007,"Benton County, Indiana",8667
05000US18009,"Blackford County, Indiana",12129
05000US18013,"Brown County, Indiana",15034
05000US18015,"Carroll County, Indiana",19994
05000US18017,"Cass County, Indiana",38084
05000US18021,"Clay County, Indiana",26268
05000US18023,"Clinton County, Indiana",32301
05000US18025,"Crawford County, Indiana",10581
05000US18027,"Daviess County, Indiana",32937
05000US18029,"Dearborn County, Indiana",49501
05000US18031,"Decatur County, Indiana",26552
05000US18033,"DeKalb County, Indiana",42704
05000US18037,"Dubois County, Indiana",42418
05000US18041,"Fayette County, Indiana",23259
05000US18045,"Fountain County, Indiana",16486
05000US18047,"Franklin County, Indiana",22842
05000US18049,"Fulton County, Indiana",20212
05000US18051,"Gibson County, Indiana",33596
05000US18055,"Greene County, Indiana",32295
05000US18061,"Harrison County, Indiana",39712
05000US18065,"Henry County, Indiana",48483
05000US18069,"Huntington County, Indiana",36378
05000US18071,"Jackson County, Indiana",43938
05000US18073,"Jasper County, Indiana",33449
05000US18075,"Jay County, Indiana",20993
05000US18077,"Jefferson County, Indiana",32237
05000US18079,"Jennings County, Indiana",27727
05000US18083,"Knox County, Indiana",37409
05000US18087,"LaGrange County, Indiana",38942
05000US18093,"Lawrence County, Indiana",45619
05000US18099,"Marshall County, Indiana",46595
05000US18101,"Martin County, Indiana",10210
05000US18103,"Miami County, Indiana",35901
05000US18107,"Montgomery County, Indiana",38276
05000US18111,"Newton County, Indiana",14018
05000US18113,"Noble County, Indiana",47451
05000US18115,"Ohio County, Indiana",5887
05000US18117,"Orange County, Indiana",19547
05000US18119,"Owen County, Indiana",20878
05000US18121,"Parke County, Indiana",16996
05000US18123,"Perry County, Indiana",19141
05000US18125,"Pike County, Indiana",12411
05000US18129,"Posey County, Indiana",25589
05000US18131,"Pulaski County, Indiana",12660
05000US18133,"Putnam County, Indiana",37559
05000US18135,"Randolph County, Indiana",25076
05000US18137,"Ripley County, Indiana",28425
05000US18139,"Rush County, Indiana",16704
05000US18143,"Scott County, Indiana",23743
05000US18145,"Shelby County, Indiana",44399
05000US18147,"Spencer County, Indiana",20526
05000US18149,"Starke County, Indiana",22941
05000US18151,"Steuben County, Indiana",34474
05000US18153,"Sullivan County, Indiana",20792
05000US18155,"Switzerland County, Indiana",10628
05000US18159,"Tipton County, Indiana",15218
05000US18161,"Union County, Indiana",7153
05000US18165,"Vermillion County, Indiana",15560
05000US18169,"Wabash County, Indiana",31631
05000US18171,"Warren County, Indiana",8247
05000US18175,"Washington County, Indiana",27827
05000US18179,"Wells County, Indiana",27947
05000US18181,"White County, Indiana",24217
05000US18183,"Whitley County, Indiana",33649
05000US19001,"Adair County, Iowa",7124
05000US19003,"Adams County, Iowa",3726
05000US19005,"Allamakee County, Iowa",13880
05000US19007,"Appanoose County, Iowa",12510
05000US19009,"Audubon County, Iowa",5637
05000US19011,"Benton County, Iowa",25626
05000US19015,"Boone County, Iowa",26399
05000US19017,"Bremer County, Iowa",24782
05000US19019,"Buchanan County, Iowa",21125
05000US19021,"Buena Vista County, Iowa",20260
05000US19023,"Butler County, Iowa",14735
05000US19025,"Calhoun County, Iowa",9780
05000US19027,"Carroll County, Iowa",20344
05000US19029,"Cass County, Iowa",13191
05000US19031,"Cedar County, Iowa",18445
05000US19033,"Cerro Gordo County, Iowa",42984
05000US19035,"Cherokee County, Iowa",11468
05000US19037,"Chickasaw County, Iowa",12099
05000US19039,"Clarke County, Iowa",9282
05000US19041,"Clay County, Iowa",16313
05000US19043,"Clayton County, Iowa",17672
05000US19045,"Clinton County, Iowa",47218
05000US19047,"Crawford County, Iowa",17132
05000US19051,"Davis County, Iowa",8885
05000US19053,"Decatur County, Iowa",8044
05000US19055,"Delaware County, Iowa",17258
05000US19057,"Des Moines County, Iowa",39600
05000US19059,"Dickinson County, Iowa",17056
05000US19063,"Emmet County, Iowa",9551
05000US19065,"Fayette County, Iowa",19929
05000US19067,"Floyd County, Iowa",15858
05000US19069,"Franklin County, Iowa",10245
05000US19071,"Fremont County, Iowa",6968
05000US19073,"Greene County, Iowa",9003
05000US19075,"Grundy County, Iowa",12341
05000US19077,"Guthrie County, Iowa",10674
05000US19079,"Hamilton County, Iowa",15110
05000US19081,"Hancock County, Iowa",10888
05000US19083,"Hardin County, Iowa",17127
05000US19085,"Harrison County, Iowa",14143
05000US19087,"Henry County, Iowa",19926
05000US19089,"Howard County, Iowa",9264
05000US19091,"Humboldt County, Iowa",9566
05000US19093,"Ida County, Iowa",6916
05000US19095,"Iowa County, Iowa",16207
05000US19097,"Jackson County, Iowa",19395
05000US19099,"Jasper County, Iowa",36891
05000US19101,"Jefferson County, Iowa",18077
05000US19105,"Jones County, Iowa",20568
05000US19107,"Keokuk County, Iowa",10200
05000US19109,"Kossuth County, Iowa",15075
05000US19111,"Lee County, Iowa",34541
05000US19115,"Louisa County, Iowa",11223
05000US19117,"Lucas County, Iowa",8597
05000US19119,"Lyon County, Iowa",11769
05000US19121,"Madison County, Iowa",15890
05000US19123,"Mahaska County, Iowa",22208
05000US19125,"Marion County, Iowa",33207
05000US19127,"Marshall County, Iowa",40271
05000US19129,"Mills County, Iowa",14957
05000US19131,"Mitchell County, Iowa",10631
05000US19133,"Monona County, Iowa",8796
05000US19135,"Monroe County, Iowa",7863
05000US19137,"Montgomery County, Iowa",10155
05000US19139,"Muscatine County, Iowa",42950
05000US19141,"O'Brien County, Iowa",13911
05000US19143,"Osceola County, Iowa",6115
05000US19145,"Page County, Iowa",15363
05000US19147,"Palo Alto County, Iowa",9055
05000US19149,"Plymouth County, Iowa",25039
